Temperature, Year, Month_Avg, Country, Country_Code
-29.66(C) -21.4(F), 2002, Feb, Greenland, GRL
-29.64(C) -21.36(F), 2006, Jan, Russia, RUS
-26.04(C) -14.87(F), 2004, Jan, Canada, CAN
-25.54(C) -13.97(F), 2011, Jan, Mongolia, MNG
-18.19(C) -0.73(F), 2008, Jan, Kyrgyzstan, KGZ
-18.09(C) -0.57(F), 2006, Jan, Kazakhstan, KAZ
-16.19(C) 2.85(F), 2003, Jan, Finland, FIN
-15.26(C) 4.53(F), 2011, Jan, Korea., Democratic
-14.85(C) 5.26(F), 2008, Jan, Tajikistan, TJK
-13.01(C) 8.59(F), 2010, Dec, Sweden, SWE
